adjacents,Finding a task to start with,Finding a mentor,"Poor ""How to contribute""",Newcomers don’t know what is the contribution flow,Lack of Patience,Shyness,Lack of domain expertise,Lack of knowledge in project processes and practice,Knowledge on technologies and tools used,Knowledge of versioning control systems,Receiving answers with too advanced/complex contents,Impolite answers,Not receiving an answer,Delayed Answer,Some newcomers need to contact a real person,Documentation Outdated,Documentation Overload,Documentation Unclear,Documentation Spread,Documentation General,Building workspace locally,Lack of information on how to send a contribution,Getting contribution accepted,Issue to create a patch,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
Finding a task to start with,,,"[9, 9]",,,,[9],,[9],[6],,,,,,,,,,"[9, 9, 9]",,,,,,,,,,"[6, 9, 9, 9]",
Finding a mentor,,,[9],[9],,,,,,,,,,,[9],,,,,,,,,,,,,,,[9],
"Poor ""How to contribute""","[9, 9]",[9],,[9],,,[9],,[9],,,,,,[9],,,[9],,"[9, 9, 9, 9, 9]",,[9],,,,,,,,"[9, 9, 9, 9, 9, 9]",
Newcomers don’t know what is the contribution flow,,[9],[9],,,,,,,,,,,,[9],,,[6],,,,,,,,,,[6],,"[6, 9]",
Lack of Patience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shyness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lack of domain expertise,[9],,[9],,,,,[9],"[9, 9]",,,,,,,,,,,[9],,,,,,,,,,"[9, 9]",
Lack of knowledge in project processes and practice,,,,,,,[9],,[9],,,,,,,,,,,,,,,,,,,,,[9],
Knowledge on technologies and tools used,[9],,[9],,,,"[9, 9]",[9],,,,,,,,,,,,[9],,,,,,,,,,"[9, 9]",
Knowledge of versioning control systems,[6],,,,,,,,,,,,,,,,,[9],,,[9],,,,,,,,,"[6, 9]",
Receiving answers with too advanced/complex contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Impolite answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not receiving an answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delayed Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some newcomers need to contact a real person,,[9],[9],[9],,,,,,,,,,,,,,,,,,,,,,,,,,[9],
Documentation Outdated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation Overload,,,,,,,,,,,,,,,,,,"[9, 9]",,[9],,,,,,,,,,"[6, 9, 9]",
Documentation Unclear,,,[9],[6],,,,,,[9],,,,,,,"[9, 9]",,,"[7, 9, 9]","[7, 9]",[9],,,,,,,,"[6, 7, 9, 9, 9, 9]",
Documentation Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation General,"[9, 9, 9]",,"[9, 9, 9, 9, 9]",,,,[9],,[9],,,,,,,,[9],"[7, 9, 9]",,,[7],[9],,,,,,,,"[7, 7, 9, 9, 9, 9, 9, 9, 9]",
Building workspace locally,,,,,,,,,,[9],,,,,,,,"[7, 9]",,[7],,,,,,,,,,"[7, 7, 7, 9]",
Lack of information on how to send a contribution,,,[9],,,,,,,,,,,,,,,[9],,[9],,,,,,,,,,[9],
Getting contribution accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue to create a patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females motivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females lower computer self-efficacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2, 6, 6, 9]"
Females risk-averse than males,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5, 5]",,,"[5, 5, 6]"
Females process information comprehensively,,,,[6],,,,,,,,,,,,,,,,,,,,,,,"[5, 5]",,,,"[1, 1, 2, 5, 5, 5, 5, 5, 6, 6, 8, 9]"
Females learn in process-oriented learning styles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO FACET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO BARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
