adjacents,Finding a task to start with,Finding a mentor,"Poor ""How to contribute""",Newcomers don’t know what is the contribution flow,Lack of Patience,Shyness,Lack of domain expertise,Lack of knowledge in project processes and practice,Knowledge on technologies and tools used,Knowledge of versioning control systems,Receiving answers with too advanced/complex contents,Impolite answers,Not receiving an answer,Delayed Answer,Some newcomers need to contact a real person,Documentation Outdated,Documentation Overload,Documentation Unclear,Documentation Spread,Documentation General,Building workspace locally,Lack of information on how to send a contribution,Getting contribution accepted,Issue to create a patch,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
Finding a task to start with,,,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 14) Since VIM is an open source project, there should be clear instructions about how people can contribute. If one of the menus were, for example, “Contributing with Implementation”, I would save time and courage. \n']",,,,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']","['(Barriers 6, row 11) First, the topic teaches me how to create a local commit using Git. It teaches in detail how to do this. After that, it gives me three options of what to do when the local commit is done. It’s all quite interesting and really relevant, but not in the current moment. Right now, I really want to find the code. I am willing to find the code and I’m not going to sleep until I found something relevant about it.']",,,,,,,,,,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 14) Since VIM is an open source project, there should be clear instructions about how people can contribute. If one of the menus were, for example, “Contributing with Implementation”, I would save time and courage. \n', '(Barriers 9, row 22) Each of the 97 bugs in the list has a very short description, with very few words, this is bad because it is not possible to filter the bugs according to what can be easy, medium difficult or impossible to do. ']",,,,,,,,,,"['(Barriers 6, row 11) First, the topic teaches me how to create a local commit using Git. It teaches in detail how to do this. After that, it gives me three options of what to do when the local commit is done. It’s all quite interesting and really relevant, but not in the current moment. Right now, I really want to find the code. I am willing to find the code and I’m not going to sleep until I found something relevant about it.', '(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 14) Since VIM is an open source project, there should be clear instructions about how people can contribute. If one of the menus were, for example, “Contributing with Implementation”, I would save time and courage. \n', '(Barriers 9, row 22) Each of the 97 bugs in the list has a very short description, with very few words, this is bad because it is not possible to filter the bugs according to what can be easy, medium difficult or impossible to do. ']",
Finding a mentor,,,"['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']","['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",,,,,,,,,,,"['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",,,,,,,,,,,,,,,"['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",
"Poor ""How to contribute""","['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 14) Since VIM is an open source project, there should be clear instructions about how people can contribute. If one of the menus were, for example, “Contributing with Implementation”, I would save time and courage. \n']","['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",,"['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",,,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,,,,,"['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",,,"['(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,"['(Barriers 9, row 10) OK. There’s a Community link, in this link there are mailing lists for certain issues to be discussed. I believe that it is necessary to register in the Community before attempting to make any contact. Is this the moment to get in touch? (Question to the class monitor)', '(Barriers 9, row 12) As much as I read the site, I do not found access to the project, issues and development process. But only recently released versions.\n', '(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 14) Since VIM is an open source project, there should be clear instructions about how people can contribute. If one of the menus were, for example, “Contributing with Implementation”, I would save time and courage. \n', '(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,"['(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",,,,,,,,"['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n', '(Barriers 9, row 10) OK. There’s a Community link, in this link there are mailing lists for certain issues to be discussed. I believe that it is necessary to register in the Community before attempting to make any contact. Is this the moment to get in touch? (Question to the class monitor)', '(Barriers 9, row 12) As much as I read the site, I do not found access to the project, issues and development process. But only recently released versions.\n', '(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 14) Since VIM is an open source project, there should be clear instructions about how people can contribute. If one of the menus were, for example, “Contributing with Implementation”, I would save time and courage. \n', '(Barriers 9, row 32) Knowing that the contributions are made by diverse people, the instructions on the project website are inaccurate. Everything I could absorb of information from the site was provided with the help of the discipline monitor.\n']",
Newcomers don’t know what is the contribution flow,,"['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']","['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",,,,,,,,,,,,"['(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",,,"['(Barriers 6, row 9) I know that my reading is not in vain, but I will only be comfortable when I can download the code and be able to compile something. But I know that I can only do this by reading, because I don’t know how to do it now and I know that the information is necessary. I’m not feeling alone: LibreOffice really helps those who want to collaborate with them. I understand what the Wiki is providing to me in parts, because there are terms that are still a bit confusing for me.']",,,,,,,,,"['(Barriers 6, row 9) I know that my reading is not in vain, but I will only be comfortable when I can download the code and be able to compile something. But I know that I can only do this by reading, because I don’t know how to do it now and I know that the information is necessary. I’m not feeling alone: LibreOffice really helps those who want to collaborate with them. I understand what the Wiki is providing to me in parts, because there are terms that are still a bit confusing for me.']","['(Barriers 6, row 9) I know that my reading is not in vain, but I will only be comfortable when I can download the code and be able to compile something. But I know that I can only do this by reading, because I don’t know how to do it now and I know that the information is necessary. I’m not feeling alone: LibreOffice really helps those who want to collaborate with them. I understand what the Wiki is providing to me in parts, because there are terms that are still a bit confusing for me.']",,"['(Barriers 6, row 1) I opened my browser and typed in the address bar the site: http://www.libreoffice.org/. I need to contribute with the LibreOffice but I don’t know how. I see that there is a “Community” link. I clicked on it, because the information about how to contribute could be there.', '(Barriers 9, row 9) I found on the page: http://www.vim.org/6k/features.en.txt a sentence that says: “VIM is Open Source,Everyone are welcome to help to improve it!”.But… How? Where? Who to talk to? Who do I send email to?\n']",
Lack of Patience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shyness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lack of domain expertise,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,,,,"['(Barriers 9, row 31) Negatives:\n I did not use the software before this activity, and this lack of familiarity was one of the main problems when contributing. I understand that any contribution of this nature should happen in projects that we already use, know at least the basics, and that we want to improve in some way.\n']","['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 31) Negatives:\n I did not use the software before this activity, and this lack of familiarity was one of the main problems when contributing. I understand that any contribution of this nature should happen in projects that we already use, know at least the basics, and that we want to improve in some way.\n']",,,,,,,,,,,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,,,,,,,,,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 31) Negatives:\n I did not use the software before this activity, and this lack of familiarity was one of the main problems when contributing. I understand that any contribution of this nature should happen in projects that we already use, know at least the basics, and that we want to improve in some way.\n']",
Lack of knowledge in project processes and practice,,,,,,,"['(Barriers 9, row 31) Negatives:\n I did not use the software before this activity, and this lack of familiarity was one of the main problems when contributing. I understand that any contribution of this nature should happen in projects that we already use, know at least the basics, and that we want to improve in some way.\n']",,"['(Barriers 9, row 31) Negatives:\n I did not use the software before this activity, and this lack of familiarity was one of the main problems when contributing. I understand that any contribution of this nature should happen in projects that we already use, know at least the basics, and that we want to improve in some way.\n']",,,,,,,,,,,,,,,,,,,,,"['(Barriers 9, row 31) Negatives:\n I did not use the software before this activity, and this lack of familiarity was one of the main problems when contributing. I understand that any contribution of this nature should happen in projects that we already use, know at least the basics, and that we want to improve in some way.\n']",
Knowledge on technologies and tools used,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,,,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 31) Negatives:\n I did not use the software before this activity, and this lack of familiarity was one of the main problems when contributing. I understand that any contribution of this nature should happen in projects that we already use, know at least the basics, and that we want to improve in some way.\n']","['(Barriers 9, row 31) Negatives:\n I did not use the software before this activity, and this lack of familiarity was one of the main problems when contributing. I understand that any contribution of this nature should happen in projects that we already use, know at least the basics, and that we want to improve in some way.\n']",,,,,,,,,,,,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n']",,,,,,,,,,"['(Barriers 9, row 13) Some people are able to create scripts to test VIM features. I’m trying to find something I can do, because I don’t use VIM, so I have no idea about its problems. I did not find a list about it on the site.\n', '(Barriers 9, row 31) Negatives:\n I did not use the software before this activity, and this lack of familiarity was one of the main problems when contributing. I understand that any contribution of this nature should happen in projects that we already use, know at least the basics, and that we want to improve in some way.\n']",
Knowledge of versioning control systems,"['(Barriers 6, row 11) First, the topic teaches me how to create a local commit using Git. It teaches in detail how to do this. After that, it gives me three options of what to do when the local commit is done. It’s all quite interesting and really relevant, but not in the current moment. Right now, I really want to find the code. I am willing to find the code and I’m not going to sleep until I found something relevant about it.']",,,,,,,,,,,,,,,,,"['(Barriers 9, row 20) The guidelines of the clone section are very imprecise and confusing. I don’t know if what I did will help in something, but I only know that a folder named as VIM was created in my computer.\n']",,,"['(Barriers 9, row 20) The guidelines of the clone section are very imprecise and confusing. I don’t know if what I did will help in something, but I only know that a folder named as VIM was created in my computer.\n']",,,,,,,,,"['(Barriers 6, row 11) First, the topic teaches me how to create a local commit using Git. It teaches in detail how to do this. After that, it gives me three options of what to do when the local commit is done. It’s all quite interesting and really relevant, but not in the current moment. Right now, I really want to find the code. I am willing to find the code and I’m not going to sleep until I found something relevant about it.', '(Barriers 9, row 20) The guidelines of the clone section are very imprecise and confusing. I don’t know if what I did will help in something, but I only know that a folder named as VIM was created in my computer.\n']",
