adjacents,Finding a task to start with,Finding a mentor,"Poor ""How to contribute""",Newcomers don’t know what is the contribution flow,Lack of Patience,Shyness,Lack of domain expertise,Lack of knowledge in project processes and practice,Knowledge on technologies and tools used,Knowledge of versioning control systems,Receiving answers with too advanced/complex contents,Impolite answers,Not receiving an answer,Delayed Answer,Some newcomers need to contact a real person,Documentation Outdated,Documentation Overload,Documentation Unclear,Documentation Spread,Documentation General,Building workspace locally,Lack of information on how to send a contribution,Getting contribution accepted,Issue to create a patch,Females motivation,Females lower computer self-efficacy,Females risk-averse than males,Females process information comprehensively,Females learn in process-oriented learning styles,NO FACET,NO BARRIER
Finding a task to start with,,,,,,,,,,,,,,,,,,,,4,,,,,,2,1,4,,6,
Finding a mentor,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,1,
"Poor ""How to contribute""",,,,,,,,,,,,,,,,,,,,4,1,,,,,,,3,,2,
Newcomers don’t know what is the contribution flow,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,3,
Lack of Patience,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,2,
Shyness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lack of domain expertise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
Lack of knowledge in project processes and practice,,,,3,,,,,1,,,,,,,,,,,,,,2,,,,,1,,8,
Knowledge on technologies and tools used,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,12,
Knowledge of versioning control systems,,,,,1,,,,1,,,,,,,,,,,,2,,,,,,,,,5,
Receiving answers with too advanced/complex contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Impolite answers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not receiving an answer,,1,,,,,,,,,,,,,5,,,,,,,,5,,,,,,,12,
Delayed Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some newcomers need to contact a real person,,1,,,,,,,,,,,5,,,,,,,,,,,,,,,,,8,
Documentation Outdated,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,1,,3,
Documentation Overload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Documentation Unclear,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,3,
Documentation Spread,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,
Documentation General,4,,4,,,,,,,,,,,,,1,,,,,1,,,,,1,,6,,10,
Building workspace locally,,,1,,1,,,,,2,,,,,,2,,,,1,,,,,,1,,3,,35,
Lack of information on how to send a contribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Getting contribution accepted,,,,,,,,2,,,,,5,,,,,,,,,,,,,,,,,7,
Issue to create a patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females motivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Females lower computer self-efficacy,2,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,2,,,13
Females risk-averse than males,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
Females process information comprehensively,4,,3,,,,,1,,,,,,,,1,,1,,6,3,,,,,2,,,,,6
Females learn in process-oriented learning styles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO FACET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO BARRIER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
